adresse_code,patient_code,pays_code,ville,code_postal,rue,numero_rue,date_debut_validite,date_fin_validite,date_creation,date_derniere_modification
ADR_0000020,PAT_00009,CH,Ramos-les-Bains,7036,avenue Laurent,96,1970-03-11,1971-07-19,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000021,PAT_00009,FR,Pottier,69895,chemin de Gilles,41,1972-06-22,1977-01-07,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000022,PAT_00009,DE,Lelièvre,66111,avenue de Chrétien,188,1977-05-19,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000023,PAT_00010,DE,Pasquier,90047,rue de Masse,183,1970-11-22,1975-07-15,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000024,PAT_00010,FR,Rivière,91974,rue de Colin,189,1976-06-18,1977-07-28,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000025,PAT_00010,DE,Guyot-sur-Robin,61814,rue de Boutin,102,1978-06-07,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000026,PAT_00011,DE,Joly,80013,rue de Salmon,143,1997-02-24,1999-11-11,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000027,PAT_00011,FR,Gonzalezboeuf,37043,boulevard Deschamps,87,2000-10-22,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000028,PAT_00012,DE,Sainte Robertboeuf,47646,chemin Christophe Gimenez,93,2004-07-27,2006-10-08,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000029,PAT_00012,IT,Gaillard-sur-Prévost,54949,boulevard de Dupuis,111,2007-05-29,2009-05-13,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000030,PAT_00012,IT,Sainte PaulineVille,21409,rue Perrot,86,2010-03-08,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000031,PAT_00013,IT,JeanVille,72481,rue Bodin,176,1981-09-21,1985-07-15,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000032,PAT_00013,DE,Perret,90588,rue Victor Martineau,33,1986-04-23,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000033,PAT_00014,DE,Raymond,45457,chemin Cohen,58,1981-01-19,1983-04-12,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000034,PAT_00014,IT,Faivre-sur-Morvan,13201,chemin Capucine Roussel,112,1983-08-07,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000035,PAT_00015,DE,Gaudinnec,73710,rue de Morin,93,1972-07-23,1973-11-14,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000036,PAT_00015,IT,Caron,27286,chemin de Lopez,197,1974-04-18,1978-06-25,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000037,PAT_00015,FR,Delattre-les-Bains,28908,avenue de Regnier,170,1978-08-04,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000038,PAT_00016,FR,Collin,45205,rue Théophile Navarro,7,1999-08-13,2004-02-13,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000039,PAT_00016,IT,Girard-les-Bains,52039,rue Verdier,199,2004-09-08,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000040,PAT_00017,FR,Étienne,67427,avenue de Schmitt,166,1971-06-16,1973-12-16,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000041,PAT_00017,DE,Joseph-la-Forêt,17438,avenue Margot Benoit,142,1974-06-24,1979-05-20,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000042,PAT_00017,IT,LacroixBourg,55750,rue Patrick Durand,145,1980-03-24,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000043,PAT_00018,DE,Cousinnec,72625,rue Lelièvre,76,1980-12-17,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000044,PAT_00019,IT,Vallet,47514,rue Denise Lecoq,179,1972-07-11,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000045,PAT_00020,IT,Saint Marc,68467,avenue de Langlois,122,2017-10-14,2019-07-18,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000046,PAT_00020,FR,Girard-sur-Buisson,47758,avenue Roland Masse,66,2019-12-18,2022-11-04,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000047,PAT_00020,FR,Saint Aurore-sur-Mer,48651,rue Maggie Fontaine,60,2023-08-05,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000048,PAT_00021,DE,Gauthier,29471,rue Chevallier,104,2004-04-13,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000049,PAT_00022,IT,Huetnec,45096,rue Odette Meunier,124,2025-07-10,2027-07-22,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000050,PAT_00022,FR,Parisboeuf,35322,chemin David Charpentier,133,2028-01-19,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000051,PAT_00023,IT,Sainte Cécile,69634,avenue de Fernandes,45,1981-07-17,1984-09-22,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000052,PAT_00023,DE,Bruneau,18230,rue Paulette Duval,13,1984-12-30,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000053,PAT_00024,DE,Sainte Édith,60644,rue Auguste Weber,114,1989-10-27,1991-08-18,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000054,PAT_00024,DE,LetellierVille,71057,rue de Vidal,42,1992-08-10,1994-07-14,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000055,PAT_00024,IT,Robert-la-Forêt,11213,boulevard Alfred Diaz,89,1994-12-17,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000056,PAT_00025,IT,Sainte Rémyboeuf,93666,boulevard Couturier,93,2019-05-16,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000057,PAT_00026,DE,Gautier-sur-Fouquet,73838,rue Thierry Lopes,131,1977-07-23,1981-01-26,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000058,PAT_00026,DE,Saint Arnaudenec,48938,avenue de Morvan,194,1981-08-12,1986-05-09,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000059,PAT_00026,DE,Hervéboeuf,44259,rue Claude Caron,57,1987-01-06,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000060,PAT_00027,FR,Sainte AdèleVille,38994,chemin Brunet,25,2002-06-09,2007-02-14,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000061,PAT_00027,IT,Becker,44911,boulevard de Leclercq,108,2007-07-06,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000062,PAT_00028,DE,Da Costa,47172,chemin de Garcia,157,1973-10-12,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000063,PAT_00029,IT,GarnierBourg,81796,rue de Torres,45,1956-07-20,1960-01-11,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000064,PAT_00029,DE,Boulay-les-Bains,65585,boulevard de Besson,75,1960-07-15,1963-12-01,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000065,PAT_00029,FR,Saint Patrick,17555,rue de Perrot,6,1964-09-03,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000066,PAT_00030,FR,Sainte Bernadette,40753,rue Philippe Gimenez,112,1969-04-26,1972-12-22,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000067,PAT_00030,IT,Rey,76849,rue Diallo,19,1973-04-12,1976-02-06,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000068,PAT_00030,FR,Sainte PauletteBourg,33972,avenue Hortense Samson,133,1976-06-19,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000069,PAT_00031,CH,Hamon,3641,rue Jean Thibault,146,1977-11-22,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000070,PAT_00032,DE,Lemonnier-les-Bains,65465,boulevard Joseph Barbier,33,1984-10-22,1989-01-18,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000071,PAT_00032,CH,Saint Corinne,5973,boulevard de Guérin,10,1989-05-17,1992-05-29,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000072,PAT_00032,IT,Guibert,71038,rue Grégoire,61,1992-12-25,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000073,PAT_00033,IT,Bazin-sur-Monnier,23769,rue Besnard,27,1992-04-11,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000074,PAT_00034,CH,LévyVille,4576,rue Delattre,175,2008-02-24,2011-12-06,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000075,PAT_00034,DE,Perret-sur-Brun,24304,rue Claude Millet,185,2012-02-11,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000076,PAT_00035,CH,Sainte Nathalie,3224,rue Lopes,149,2006-07-23,2008-03-12,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000077,PAT_00035,IT,Andre-sur-Grondin,56739,chemin de Dupuis,117,2008-10-11,2013-08-26,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000078,PAT_00035,FR,Saint Thérèse,46375,rue de Poulain,179,2014-03-15,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000079,PAT_00036,CH,Saint Claire,2167,boulevard Anastasie Fernandes,190,1994-03-27,1996-06-04,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000080,PAT_00036,IT,Guilbert,32364,boulevard Carre,158,1997-05-17,2000-05-10,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000081,PAT_00036,FR,Rousseau,89673,rue de Leduc,184,2001-03-18,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000082,PAT_00037,CH,Monnier-la-Forêt,5806,boulevard Mary,80,1980-06-09,1983-05-20,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000083,PAT_00037,DE,Da Costa-sur-Meyer,27469,boulevard de Boulay,157,1983-07-03,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000084,PAT_00038,IT,Gallet,33629,rue de Aubert,194,1988-05-20,1991-06-19,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000085,PAT_00038,DE,Michel,31063,avenue de Riou,90,1991-12-18,1993-04-28,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000086,PAT_00038,FR,Pereira,33449,boulevard Antoinette Bègue,63,1994-03-11,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000087,PAT_00039,IT,Rodriguez,92567,rue de Buisson,159,2013-05-01,2015-06-25,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000088,PAT_00039,IT,Lefebvre,94330,rue Olivie Maillard,140,2016-05-25,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000089,PAT_00040,FR,CostaBourg,90013,boulevard Antoine Gomes,114,1987-08-04,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000090,PAT_00041,CH,Saint Marceldan,6988,rue François Lopez,102,2015-08-22,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000091,PAT_00042,IT,Roux-sur-Guillet,20135,chemin Pierre Lelièvre,150,2002-09-29,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000092,PAT_00043,IT,Blot-sur-Grondin,87446,rue de Jacquot,53,1960-12-08,1962-06-19,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000093,PAT_00043,DE,Sainte Gérarddan,41890,rue Antoine Bourgeois,167,1963-06-13,1965-01-11,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000094,PAT_00043,FR,Hamon,11971,boulevard Margaret Bodin,73,1965-09-16,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000095,PAT_00044,FR,Laporte,56221,chemin Margot Coulon,3,2119-02-24,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000096,PAT_00045,DE,Voisin,29521,chemin Joséphine Hoareau,74,1980-02-25,1981-08-04,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000097,PAT_00045,DE,HoareauVille,20520,rue Matthieu Carlier,185,1981-11-28,1984-10-24,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000098,PAT_00045,FR,ChauveauVille,48086,avenue Rémy Duval,146,1984-12-31,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000099,PAT_00046,CH,Robert,4754,rue de Devaux,35,1985-02-16,1988-04-13,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000100,PAT_00046,DE,Saint Bernadette,64276,boulevard de Lacroix,156,1988-11-04,1992-02-09,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000101,PAT_00046,FR,Riou-les-Bains,13123,rue Sophie Joubert,98,1992-08-06,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000102,PAT_00047,IT,Toussaint-sur-Carre,74054,chemin Fabre,165,2016-11-02,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000103,PAT_00048,IT,Hoarau-sur-Becker,56595,rue Andrée Moreau,91,2027-07-05,2028-08-11,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000104,PAT_00048,DE,Delaunay,26936,chemin de Guillet,122,2029-01-31,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000105,PAT_00049,FR,Besson-les-Bains,77151,avenue de Humbert,113,1974-07-20,1976-03-08,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000106,PAT_00049,DE,CharpentierVille,54263,rue Launay,184,1976-05-28,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000107,PAT_00050,CH,Alexandre,7551,boulevard Daniel Jacques,25,1972-08-02,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000108,PAT_00051,IT,Gérard,85058,boulevard Daniel Menard,157,1979-03-14,1981-02-28,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000109,PAT_00051,FR,Berger,74279,avenue René Barbier,112,1981-07-14,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000110,PAT_00052,FR,Buisson-sur-Rolland,51718,rue de Dubois,31,2030-09-12,2034-03-15,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000111,PAT_00052,DE,Ferrand,58219,rue Joséphine Poulain,18,2034-06-07,2038-01-09,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000112,PAT_00052,DE,Traore,89072,avenue de Dupont,11,2038-05-10,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000113,PAT_00053,FR,Guibertboeuf,54024,rue Brunel,129,1979-11-30,1984-04-23,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000114,PAT_00053,DE,Bigot-sur-Mer,11126,rue Éric Clément,18,1984-09-30,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000115,PAT_00054,CH,Legendre,5795,avenue de Fouquet,190,1976-09-26,1978-01-20,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000116,PAT_00054,CH,Pineau,9991,chemin Nathalie Camus,135,1978-09-08,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000117,PAT_00055,FR,Maillet,53181,avenue de Barthelemy,92,1977-07-07,1980-12-30,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000118,PAT_00055,DE,Sainte Patricia,33048,boulevard de Fournier,49,1981-02-13,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000119,PAT_00056,DE,Delattre-sur-Albert,49763,rue de Marion,107,1973-12-22,1978-11-14,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000120,PAT_00056,CH,Marchal,5651,chemin Hortense Voisin,173,1979-08-05,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000121,PAT_00057,IT,Reynec,59283,rue Dupré,154,1980-03-03,1984-10-27,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000122,PAT_00057,DE,Leleu,43009,chemin de Lefebvre,86,1984-12-16,1986-10-19,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000123,PAT_00057,CH,Lelièvre,2108,avenue Allard,187,1987-03-30,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000124,PAT_00058,DE,Pereira-sur-Roux,28879,rue de Cousin,94,1992-10-02,1994-03-15,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000125,PAT_00058,CH,Sainte Thomasnec,8069,chemin de Benoit,8,1994-08-28,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000126,PAT_00059,IT,Sainte Michèle,64472,rue Pottier,195,1995-10-06,1998-02-19,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000127,PAT_00059,IT,Peltierdan,25143,avenue de Mercier,156,1998-09-18,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000128,PAT_00060,FR,VerdierBourg,31037,chemin Corinne Pinto,198,1966-04-17,1968-06-26,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000129,PAT_00060,IT,Grondin,28565,rue Thibault Ledoux,87,1968-11-15,1973-04-17,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000130,PAT_00060,CH,Saint Arthur-la-Forêt,6601,chemin de Besnard,174,1974-02-25,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000131,PAT_00061,DE,Delannoynec,63237,rue William Collin,32,1981-07-20,1984-02-12,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000132,PAT_00061,IT,Martel,47784,rue de Dias,74,1984-05-06,1986-11-03,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000133,PAT_00061,IT,Saint ZoéBourg,84881,avenue Thierry,133,1987-08-13,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000134,PAT_00062,DE,Ferrandboeuf,22644,rue de Poirier,93,1960-10-04,1963-12-03,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000135,PAT_00062,IT,Maillet-sur-Guillon,73800,boulevard Lebon,9,1964-04-23,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000136,PAT_00063,DE,Sainte Eugène,61050,chemin de Labbé,12,1990-03-09,1992-02-20,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000137,PAT_00063,CH,Merleboeuf,4076,rue Chantal Delannoy,144,1992-11-21,1997-10-08,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000138,PAT_00063,CH,Bonnet,8965,chemin de Benoit,65,1998-02-27,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000139,PAT_00064,IT,Delattre-sur-Mer,55228,boulevard Lebrun,19,1985-01-02,1988-03-22,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000140,PAT_00064,DE,Moreno,20866,avenue Alphonse Teixeira,71,1988-11-15,1992-06-21,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000141,PAT_00064,DE,Sainte Odette-la-Forêt,34075,boulevard Mathilde Gauthier,66,1993-03-19,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000142,PAT_00065,CH,Bouvet,8807,rue Aimé Lopez,86,1965-08-10,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000143,PAT_00066,IT,Da Silva,88116,chemin Antoinette Lambert,116,1962-05-13,1967-04-13,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000144,PAT_00066,CH,Dupuis,3523,rue Petitjean,150,1968-03-26,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000145,PAT_00067,FR,LangloisVille,26830,boulevard Claire Leroux,104,1978-02-05,1982-04-13,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000146,PAT_00067,FR,Bouchet-sur-Hardy,23658,rue de Schmitt,9,1983-03-05,1984-07-17,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000147,PAT_00067,FR,Gaudinboeuf,75251,chemin de Brunet,67,1984-09-18,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000148,PAT_00068,IT,Leclerc-la-Forêt,80859,boulevard Michèle Vallée,130,1970-06-04,1975-04-24,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000149,PAT_00068,IT,Traore-sur-Joseph,55737,chemin Noël,116,1976-03-09,1980-06-02,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000150,PAT_00068,DE,Voisin-sur-Blot,40724,avenue Cordier,19,1980-11-23,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000151,PAT_00069,FR,Baron,24852,chemin Danielle Pinto,97,1971-01-23,1972-09-15,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000152,PAT_00069,FR,Boutin-sur-Mer,63313,avenue de Mercier,163,1973-05-01,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000153,PAT_00070,CH,Sainte Laurent,7770,rue de Monnier,35,1990-10-19,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000154,PAT_00071,CH,Lefèvre-sur-Perret,6182,avenue de Jacques,159,1982-10-01,1984-04-11,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000155,PAT_00071,CH,Sainte Léonnec,5794,rue Ollivier,78,1984-12-27,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000156,PAT_00072,CH,Hubert,1878,rue de Boucher,18,1986-04-17,1990-05-09,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000157,PAT_00072,CH,Saint Adèle,7919,rue Benjamin Cousin,113,1990-08-20,1992-01-21,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000158,PAT_00072,IT,Saint Eugènenec,98671,avenue de Costa,183,1992-04-10,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000159,PAT_00073,IT,Benard-les-Bains,75364,rue Brigitte Masson,199,1992-01-21,1994-12-30,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000160,PAT_00073,IT,Pons,91964,avenue de Henry,58,1995-05-02,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000161,PAT_00074,DE,Perret-sur-Mer,84427,chemin de Petit,86,1981-01-19,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000162,PAT_00075,IT,Samson-la-Forêt,14480,avenue Barbier,93,1987-02-27,1989-01-13,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000163,PAT_00075,CH,Fouquet-sur-Raynaud,8293,chemin Lacroix,120,1989-09-29,1991-10-30,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000164,PAT_00075,FR,LévyBourg,25722,avenue Célina Chauvin,107,1992-10-21,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000165,PAT_00076,IT,Brun,63504,rue Guy Gallet,122,2019-10-23,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000166,PAT_00077,IT,Langlois,42063,rue Delaunay,182,1963-06-25,1967-07-08,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000167,PAT_00077,CH,Bruneau,7937,chemin Gros,33,1967-12-06,1971-01-19,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000168,PAT_00077,DE,De Oliveira,78784,avenue Gilbert Daniel,174,1971-08-20,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000169,PAT_00078,IT,Vincent-la-Forêt,70505,avenue Denise Barbier,79,1997-12-10,1999-03-04,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000170,PAT_00078,DE,Saint Bernadette,14814,rue de Michaud,105,1999-10-17,2004-04-29,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000171,PAT_00078,DE,Sainte Mathildeboeuf,15327,rue Carlier,144,2005-03-08,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000172,PAT_00079,FR,Saint PierreVille,18142,boulevard de Georges,1,1973-08-20,1976-09-09,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000173,PAT_00079,FR,Morin,17359,rue Pires,178,1977-01-04,1981-08-05,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000174,PAT_00079,DE,Sainte Alice,72468,avenue Anne Breton,126,1982-07-25,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000175,PAT_00080,IT,Bègue,89830,chemin Rey,73,2010-07-15,2013-11-01,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000176,PAT_00080,DE,Lopes,75980,rue Jacquot,152,2014-04-17,,2025-01-01 00:00:00,2025-01-01 00:00:00
ADR_0000177,PAT_00081,CH,Moreno-la-Forêt,3099,chemin Hubert,176,1959-12-11,,2025-01-01 00:00:00,2025-01-01 00:00:00
