patient_code,prenom,nom,sexe_code,date_naissance,ville_naissance,pays_naissance_code,nationalite_code,date_deces,ville_deces,etat_civil_code,numero_securite_sociale,confession_code,indicateur_vip,date_creation,date_derniere_modification
PAT_00013,Isabelle,Alexandre,M,1973-05-06,Vasseur,DE,GB,,,CE,8084124118244,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00014,Guillaume,Grégoire,M,1963-11-21,RobinVille,IT,IT,,,CE,4005242786801,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00015,Frédéric,Brunet,F,1959-09-02,Bazin,IT,IT,,,DI,0533158692322,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00016,Audrey,Godard,M,1997-06-26,Sainte Alexdan,DE,US,,,IN,1607337543303,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00017,Éléonore,Deschamps,F,1954-05-12,DuboisBourg,DE,DE,,,SE,4294019655698,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00018,Maggie,Regnier,F,1962-05-02,Lecoq,DE,DE,,,SE,3561595148465,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00019,Lucy,Leblanc,F,1958-04-14,Sainte Bernadette-les-Bains,DE,DE,,,DI,0443699577738,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00020,Cécile,Bernard,F,2006-11-03,Charrier,IT,IT,,,IN,3433200379176,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00021,Paulette,Colin,M,1995-12-13,Gautier-la-Forêt,DE,DE,,,DI,1632870831727,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00022,Zoé,Riou,M,2020-06-25,Raynaud-sur-Mer,DE,DE,,,IN,7277434873471,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00023,Honoré,Besson,M,1971-06-18,Gimenez,CH,CH,,,DI,1665876036690,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00024,Renée,Laporte,M,1974-08-01,Sainte Claudine,IT,IT,,,VE,ABC3467065627,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00025,Alfred,Marie,M,2018-01-13,Le Gall,CH,CH,,,VE,4653755646417,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00026,Olivier,Boyer,F,1972-04-21,Duhamel,CH,CH,,,IN,3092327193745,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00027,Édouard,Clément,F,1997-12-04,Muller-les-Bains,FR,CH,,,SE,6631931491905,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00028,Gilbert,Delmas,F,1954-09-21,Dias-les-Bains,IT,IT,,,VE,7262849877694,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00029,Rémy,Evrard,F,1955-05-15,Briand-sur-Lecomte,FR,FR,,,SE,7527354549480,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00030,Élodie,Faivre,F,1965-12-14,Delannoy,DE,DE,,,DI,0143634957885,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00031,Thierry,Alexandre,F,1971-06-23,Navarro,DE,DE,,,CE,1823374989413,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00032,Diane,Sauvage,F,1969-01-23,Saint MauriceBourg,FR,FR,,,MA,7109477752047,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00033,Yves,Lefebvre,F,1981-02-19,Lenoir-sur-Rolland,CH,CH,,,SE,8699938677496,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00034,Jacqueline,Vasseur,F,1989-12-04,Saint Mathilde,FR,FR,,,CE,8120679740344,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00035,Louise,Lopez,M,1993-04-09,Mercier,FR,FR,,,SE,2102499471746,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00036,Arthur,Rémy,M,1981-08-03,Saint Rogerdan,CH,GB,2019-01-25,Gimenez,CE,4902787429671,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00037,Gilles,Ramos,F,1970-11-04,Verdier-sur-Reynaud,FR,FR,,,IN,8071545168087,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00038,Patrick,Reynaud,F,1973-10-25,AubertBourg,DE,DE,1973-10-11,Saint Charles,MA,4771093248086,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00039,Étienne,Delmas,F,2004-08-04,Monniernec,FR,FR,,,IN,7737826398214,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00040,Antoinette,Bigot,M,1971-09-09,Saint Charles,CH,CH,,,,2787558867533,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00041,Anne,Petitjean,M,1999-07-02,Nicolas,IT,IT,,,IN,2702895171870,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00042,Paul,Olivier,M,1991-03-03,Regnier,DE,DE,,,CE,1586578091343,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00043,Caroline,Joly,M,1956-11-23,Vidal-la-Forêt,CH,CH,1961-06-12,MenardBourg,IN,3869222196937,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00044,Capucine,Dias,M,2100-01-01,Saint ManonVille,DE,DE,,,MA,2175946474367,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00045,Éric,Chrétien,F,1972-10-10,Brun,IT,IT,,,IN,0974395339421,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00046,Anouk,Vallée,M,1969-08-02,Benoitnec,IT,IT,,,MA,3285884247451,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00047,Charles,Gaillard,F,1998-04-28,Bernardnec,DE,US,,,SE,4817549651370,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00048,Rémy,De Sousa,M,2011-10-08,Briand,CH,CH,,,VE,0047113826758,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00049,Marthe,Foucher,F,1959-07-21,Peltierdan,CH,ES,,,VE,7735158506431,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00050,Honoré,Aubert,M,1955-11-07,Carpentier,CH,CH,,,CE,3183933529042,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00051,Bertrand,Delorme,M,1961-02-22,Bonnetboeuf,CH,CH,1965-03-24,Saint Isabelle,CE,1177589178390,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00052,Christiane,Gaudin,M,2017-05-15,BarbierVille,CH,CH,,,VE,7115921249985,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00053,Danielle,Faure,F,1968-08-17,Muller,DE,DE,,,IN,8367365766156,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00054,Jeannine,Mercier,F,1959-11-16,Antoine,CH,CH,,,MA,5280988516560,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00055,Georges,Colas,M,1972-02-19,Delorme,FR,FR,,,VE,8514936899809,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00056,Jeannine,Fournier,M,1967-01-06,Faure-sur-Humbert,IT,IT,,,CE,2961201836675,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00057,Margaux,Guillon,F,1970-10-20,Barbe-sur-Gomes,CH,FR,2013-07-16,Martins,DI,6438156149784,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00058,Marguerite,Auger,F,1988-01-01,Dupuis,FR,FR,,,DI,1076226838851,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00059,Rémy,Delaunay,F,1977-01-15,Leconte,CH,ES,,,VE,4160529751613,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00060,Madeleine,Ribeiro,F,1955-07-28,GomesBourg,IT,IT,1964-09-07,,DI,5523124329212,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00061,Alain,Albert,M,1979-10-25,Thibault-sur-Roussel,DE,DE,,,SE,5271774490581,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00062,David,Tanguy,F,1953-06-27,Guillou,IT,IT,,,MA,5931034131647,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00063,Rémy,Payet,F,1971-12-03,Muller,FR,FR,,,IN,9255466590515,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00064,Patrick,Lemaître,F,1968-05-24,Barbier,FR,FR,,,SE,6291486528168,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00065,Brigitte,Devaux,F,1961-04-11,Raymond,DE,DE,,,DI,1888059296222,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00066,Susan,Guibert,M,1960-12-15,Petit-la-Forêt,CH,CH,,,IN,7383473597746,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00067,Margaud,Duval,F,1960-04-26,Aubry,FR,CH,,,IN,1814124782613,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00068,Gabriel,Gautier,IN,1951-07-02,Meyer-la-Forêt,DE,DE,,,DI,0515220472779,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00069,Roland,Texier,F,1966-04-27,Wagner,FR,FR,,,IN,4341036971179,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00070,Zacharie,Martins,F,1986-04-23,Bodin,FR,FR,,,MA,2185188888067,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00071,Claudine,Deschamps,F,1973-05-24,Saint Luce,CH,CH,,,MA,1952058527722,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00072,Audrey,Baron,F,1979-01-10,Saint Xavier,FR,FR,,,DI,6874034505415,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00073,Pénélope,Dumont,F,1978-07-11,Renard,FR,FR,,,VE,1616928451154,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00074,Nicole,Pichon,F,1977-03-23,Munoznec,DE,DE,,,MA,0165820297021,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00075,Gabrielle,Petit,F,1973-07-19,Saint Marie-les-Bains,CH,CH,,,IN,1928565431027,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00076,Émilie,Da Silva,F,2004-05-25,Guillon,IT,IT,,,DI,7312172715518,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00077,Françoise,Caron,F,1960-12-23,RodriguezVille,FR,FR,,,SE,2370589578291,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00078,Thibault,Marchal,F,1995-12-16,Sainte Marc,DE,DE,,,SE,1778528922680,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00079,Maggie,Menard,M,1969-03-06,Sainte Renéenec,IT,FR,,,CE,4384249818299,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00080,Laure,Bouvet,IN,1996-10-11,Gomez,CH,CH,,,MA,4396907844736,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00081,Isaac,Schmitt,F,1953-03-15,Laurent-les-Bains,DE,DE,,,DI,5931034131647,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00082,Nathalie,Le Roux,F,1953-05-13,Laroche-sur-Mer,DE,DE,,,DI,3278774701687,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00083,René,Leroux,M,1972-01-02,Sainte Augustedan,IT,IT,,,IN,1624565060983,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00084,Matthieu,Bourgeois,F,1974-09-15,Marty-la-Forêt,IT,ES,,,IN,6558523986800,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00085,Valentine,Dumas,F,1980-09-15,Laurent,FR,FR,,,SE,2694958887947,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00086,Margaux,Olivier,M,1993-02-14,Boulanger-la-Forêt,IT,IT,,,IN,9930972896230,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00087,Daniel,Leleu,M,1962-01-15,Marty,IT,IT,,,VE,7028385786527,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00088,Lucy,Grégoire,M,1972-11-25,Potierboeuf,IT,IT,,,DI,4437575844198,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00089,Antoine,Ferreira,F,2012-03-10,Colin,CH,CH,,,IN,4733848421993,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00090,Inès,Aubry,F,1983-04-21,Saint Jeannine,FR,FR,,,VE,2082677345401,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00091,Bernadette,Barre,M,1997-12-28,Nguyen,CH,FR,2023-08-06,,,4004991547887,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00092,Julie,Gros,M,1982-08-09,Sainte Hortense-sur-Mer,FR,IT,,,DI,0549329668516,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00093,Pierre,Bertrand,M,1958-08-11,Martin-sur-Mer,FR,FR,,,VE,5499045301742,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00094,Aimée,Perret,F,1995-05-23,Sainte Laurenceboeuf,CH,CH,,,CE,2727956878339,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00095,Margaud,Denis,M,1978-09-23,Guillou,IT,IT,,,SE,8398225871397,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00096,Thierry,Martineau,F,1953-08-05,Milletnec,DE,DE,,,MA,0640391065180,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00097,Marthe,Collet,M,1980-01-10,Rodriguez-sur-Mer,DE,DE,,,DI,6567661825128,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00098,Astrid,Chartier,F,1964-01-25,Labbé-les-Bains,CH,DE,,,IN,3375243106903,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00099,Laetitia,Colas,IN,1952-08-20,Lebon,CH,CH,,,MA,0284395995342,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00100,Emmanuelle,Martin,M,1976-05-09,Renault,CH,CH,,,SE,7056856624628,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00101,Marc,Perret,F,1969-12-05,Seguin-sur-Bègue,DE,ES,,,VE,3435175183046,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00102,Tristan,Turpin,M,1954-04-26,Pichon-sur-Mer,FR,FR,1978-02-24,,CE,7393638546785,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00103,Danielle,Reynaud,F,1981-08-04,Delmas,DE,DE,,,CE,9320489964235,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00104,Émile,Jacquet,F,1965-08-18,Dupréboeuf,IT,IT,,,VE,5228728080100,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00105,Éric,Hamel,F,1964-02-23,Maillet,FR,FR,,,SE,9770088600848,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00106,Thierry,Jean,M,1994-11-14,Caron,FR,FR,,,MA,8454615679334,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00107,André,Lambert,M,1991-11-25,Ollivier,CH,CH,1992-02-16,,,5918033974014,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00108,Juliette,Lecoq,M,1952-03-28,Sainte Arnaude-sur-Mer,IT,IT,,,DI,6142939685621,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00109,Michelle,Grenier,F,2002-02-14,Costanec,FR,IT,,,,5047735866296,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00110,Patrick,Caron,F,1965-12-03,Saint Renée,CH,CH,,,VE,5110475412126,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00111,Audrey,Vasseur,F,1976-02-01,Grenier,CH,CH,,,MA,6046618398262,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00112,Diane,Barthelemy,F,1981-03-03,Saint Claude,FR,FR,1997-12-21,Sainte Grégoiredan,VE,9371240659657,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00113,Margot,Laporte,F,1991-10-05,Valentinboeuf,IT,IT,,,IN,6547935646519,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00114,Olivie,Pichon,F,2006-11-25,Fouquet-sur-Bodin,CH,DE,,,IN,1672434266179,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00115,Aurélie,Lévy,F,1982-12-14,Lerouxdan,CH,CH,,,CE,1352909656101,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00116,Catherine,Poirier,F,1983-09-19,Diaz,FR,FR,,,VE,8250714611254,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00117,Robert,Gosselin,F,1983-08-12,Vallée-sur-Mer,DE,DE,,,IN,1051238282586,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00118,Robert,Besnard,M,2100-01-01,Sainte Noël-la-Forêt,FR,FR,,,VE,3796603341918,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00119,Xavier,Julien,F,1979-02-09,Faure-les-Bains,DE,DE,,,IN,9155792499125,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00120,Henri,Grondin,F,1961-06-23,Lemonnier-les-Bains,FR,FR,,,VE,2782827422579,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00121,Maryse,Benoit,F,1950-08-05,Sainte Anoukboeuf,FR,ES,,,SE,6772190340438,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00122,Élodie,Turpin,F,1986-12-25,Bonnet-sur-Mer,DE,DE,,,MA,5807836134074,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00123,Victoire,De Oliveira,F,1978-02-25,PiresVille,FR,FR,,,IN,9629233095849,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00124,Paulette,Bruneau,F,1995-05-10,MartelVille,IT,ES,,,IN,6042232536729,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00125,Adrienne,Léger,M,1974-08-03,Humbert-sur-Mer,CH,CH,,,IN,7759017518636,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00126,Claire,Vasseur,M,1970-05-11,Nguyen,FR,FR,,,VE,0170127706324,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00127,Claire,Leroy,F,2009-02-21,Marquesnec,IT,IT,,,CE,6436110371293,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00128,Monique,Gaillard,F,1950-12-11,RodriguezVille,CH,DE,,,IN,1115542622189,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00129,Anaïs,Allain,F,1800-01-01,Dupré-sur-Michel,FR,FR,,,DI,3112196565234,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00130,Émile,Weiss,M,1988-10-24,Dufourdan,IT,IT,,,IN,4389836403761,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00131,Jules,Girard,F,1954-09-01,Gillet,IT,FR,,,VE,2710910430068,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00132,Victor,Lecomte,F,1999-07-14,Milletboeuf,DE,DE,,,SE,4183285691463,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00133,Patricia,Gillet,F,1977-02-15,Chrétien,CH,CH,,,IN,2027588425241,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00134,Véronique,De Oliveira,M,1977-05-17,Faure,CH,CH,,,SE,5079252419138,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00135,Charlotte,Moreau,F,2100-01-01,Rouxboeuf,DE,DE,,,DI,8635365419518,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00136,Maurice,Delahaye,M,1964-09-02,Saint OlivieVille,DE,DE,,,VE,1870534949375,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00137,Paul,Bourgeois,M,1999-04-24,Saint Olivier,FR,FR,,,VE,0506413836702,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00138,Gilbert,Reynaud,M,1964-09-14,Saint Chantal-la-Forêt,IT,IT,,,IN,6199062344565,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00139,Pauline,Tessier,F,1954-04-05,Seguin,CH,CH,,,DI,8537474112490,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00140,Julie,Letellier,F,1959-02-23,Saint ThierryBourg,FR,DE,,,SE,2067883171210,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00141,Inès,Michel,F,1964-03-07,Bruneau,DE,DE,,,IN,1013721510702,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00142,Margaret,Mallet,M,1996-07-16,Auger-sur-Mer,CH,CH,,,VE,4472099934768,SANS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00143,Denis,Allain,F,1974-03-14,Henry,FR,FR,,,SE,0657875985642,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00144,Marthe,Leleu,F,1951-05-02,Pottier,DE,DE,,,SE,04075492579080,JUI,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00145,Joséphine,Mathieu,M,1987-01-23,Dupont-sur-Perrot,IT,ES,,,DI,7842701039308,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00146,Élisabeth,Gilbert,F,1989-04-26,Muller,FR,FR,,,DI,2185156915452,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00147,Corinne,Jourdan,M,1977-11-16,Richard,IT,XXX,,,SE,9264422096902,MORM,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00148,Claude,De Oliveira,IN,2020-04-21,Gautiernec,CH,FR,,,CE,2157043315410,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00149,Agnès,Bousquet,F,1976-03-14,Neveu-les-Bains,DE,IT,,,SE,9327104054115,TJ,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00150,Bernadette,Schmitt,F,1996-02-18,Gilles-la-Forêt,CH,CH,,,SE,2962015336884,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00151,Laetitia,Tanguy,M,1956-01-13,Turpinnec,DE,DE,,,CE,9731032417146,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00152,Valérie,Foucher,F,1966-02-21,Royer-sur-Breton,DE,DE,1996-05-08,,VE,9021158693806,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00153,Dominique,Moulin,M,1984-11-28,Sainte Catherine-sur-Mer,DE,DE,,,DI,0898992172233,AUT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00154,Odette,Barthelemy,F,1993-07-07,Bourdon-sur-Laroche,FR,IT,,,CE,8548709986162,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00155,Alex,Marques,F,1998-02-04,Sainte Claude,CH,CH,,,SE,7997024629960,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00156,Victor,Vidal,F,1994-04-02,Lecomteboeuf,DE,IT,,,MA,4713247546913,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00157,Susanne,Poirier,F,2014-12-16,Guyot,IT,ES,,,DI,2890233030705,RF,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00158,Jeannine,Boutin,M,1979-09-13,Berthelot,CH,CH,,,DI,7985524140602,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00159,Alain,Blondel,M,1963-04-21,Clément,FR,FR,1965-03-21,Fouquet,CE,0349446657437,MUS,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00160,Anouk,Camus,F,1989-07-19,Thierry-sur-Mer,CH,CH,,,IN,4417154544432,CHR,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00161,Marie,Ollivier,F,1953-10-13,PonsVille,IT,IT,,,IN,4666099353875,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00162,Éric,Cousin,F,1992-09-06,Lebon,IT,IT,,,DI,2513534655494,CATH,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00163,Marine,Berger,F,1953-11-19,Dupré,CH,CH,,,DI,8460223569725,PROT,false,2025-01-01 00:00:00,2025-01-01 00:00:00
PAT_00164,Inès,Tessier,M,1955-08-11,Lenoirboeuf,FR,FR,,,MA,2927129666676,INC,false,2025-01-01 00:00:00,2025-01-01 00:00:00
